dataset_type,density,model,noise_level,method,mse,chamfer_distance,max_error,mean_error,normal_consistency,density_ratio
synthetic,D01,dragon,L02,bipartite_graph_denoising,3.815906032224045e-05,0.004776117078760263,0.015154229862026749,0.006177302026147051,0.9716904490555972,0.7168884250804418
synthetic,D01,dragon,L02,Weighted multi projection,2.776561125401347e-05,0.004751429193102537,0.012198435815557953,0.005269308422745196,0.9766328240009697,0.7168884250804418
synthetic,D01,dragon,L03,Noisy,4.1246303021479997e-05,0.005755761243166697,0.011085125168440792,0.006422328473496198,0.9664484436828592,0.5017392816766675
synthetic,D01,dragon,L03,Bilateral,3.9010025285334076e-05,0.005151856082756057,0.02087688129344857,0.0062458006120379855,0.9586454114618241,0.5017392816766675
synthetic,D01,dragon,L03,Guided Filter,4.1246303021479997e-05,0.005755761243166697,0.011085125168440792,0.006422328473496198,0.9664484436828592,0.5017392816766675
synthetic,D01,dragon,L03,bipartite_graph_denoising,5.549428400856293e-05,0.005544378765951513,0.016933453155302678,0.007449448570771056,0.9582078984571971,0.5017392816766675
synthetic,D01,dragon,L03,Weighted multi projection,4.1246303021479997e-05,0.005755761243166697,0.011085125168440792,0.006422328473496198,0.9664484436828592,0.5017392816766675
synthetic,D01,dragon,L04,Noisy,7.189674208574655e-05,0.007355143547694257,0.014722431864335427,0.008479194660210753,0.9399859025851341,0.3055048265066527
synthetic,D01,dragon,L04,Bilateral,7.280360378055359e-05,0.006660648564910611,0.02713711894198374,0.008532502785264918,0.929019083248862,0.3055048265066527
synthetic,D01,dragon,L04,Guided Filter,7.189674208574655e-05,0.007355143547694257,0.014722431864335427,0.008479194660210753,0.9399859025851341,0.3055048265066527
synthetic,D01,dragon,L04,bipartite_graph_denoising,9.231817101020542e-05,0.006826964196465345,0.023165799757740958,0.00960823454179827,0.9313828773793499,0.3055048265066527
synthetic,D01,dragon,L04,Weighted multi projection,7.189674208574655e-05,0.007355143547694257,0.014722431864335427,0.008479194660210753,0.9399859025851341,0.3055048265066527
synthetic,D01,sphere,L01,Noisy,3.617704997146204e-06,0.001804816739380298,0.0032908965343808817,0.0019020265500634328,0.991311180594172,0.9058569769371163
synthetic,D01,sphere,L01,Bilateral,4.022710111988934e-06,0.0018073074379587471,0.00521049893773493,0.0020056694922117486,0.9916368471843781,0.9058569769371163
synthetic,D01,sphere,L01,Guided Filter,5.468661035198361e-06,0.0018710870047820606,0.009764000635806298,0.0023385168451816553,0.9913451605684643,0.9058569769371163
synthetic,D01,sphere,L01,bipartite_graph_denoising,2.65868328003705e-05,0.004326454048241132,0.014022800612742081,0.005156242120029906,0.9912842820904423,0.9058569769371163
synthetic,D01,sphere,L01,Weighted multi projection,5.468661035198361e-06,0.0018710870047820606,0.009764000635806298,0.0023385168451816553,0.9913451605684643,0.9058569769371163
synthetic,D01,sphere,L02,Noisy,3.113802003281898e-05,0.0052111212904788155,0.009526279441628767,0.00558014516234291,0.9903195932062127,0.7001825120292019
synthetic,D01,sphere,L02,Bilateral,2.9327813974974604e-05,0.0046978789482889066,0.01392474775765817,0.005415516039582433,0.9912008424378523,0.7001825120292019
synthetic,D01,sphere,L02,Guided Filter,3.113802003281898e-05,0.0052111212904788155,0.009526279441628767,0.00558014516234291,0.9903195932062127,0.7001825120292019
synthetic,D01,sphere,L02,bipartite_graph_denoising,5.522610889965666e-05,0.005941181016414606,0.018971258858582803,0.00743142711056609,0.9902991750669259,0.7001825120292019
